time [s],concentration of A [mol/m3],concentration of B [mol/m3],concentration of R [mol/m3],concentration of S [mol/m3],concentration of T [mol/m3],rate of reaction of A [mol/m3·s],rate of reaction of B [mol/m3·s],rate of reaction of R [mol/m3·s],rate of reaction of S [mol/m3·s],rate of reaction of T [mol/m3·s],reactor temperature [K],jacket temperature [K],reactor setpoint temperature,volume of reaction mixture [m3],viscosity of the reaction mixture [Pa·s],shaft power of the impeller [W],heat released by reaction [W],cumulative_heat_released [J],heat removed by cooling water [W],cumulative heat removed by cooling water [J],conversion [-],cooling water flowrate [m3/s],stage
0.0,-0.11792844155848742,-2.312505551099697,-9.701815311579125,-3.1249166995049866,2.00815040032879,0.0,0.0,0.0,0.0,0.0,299.1780329544204,285.0279388480573,273,0.0,1.0748488336406157,3323.41937061657,0.0,0.0,-0.0,0.0,-0.0,-5.810435335527471e-07,0
50.0,1.7503599747371839,2.918281264920874,-8.894892404679005,-5.554498640757863,5.479271379850062,0.0,0.0,0.0,0.0,0.0,299.2363536145366,289.96666940720314,273,0.015000000000000003,1.2221174213591017,3362.0318281893433,0.0,0.0,-0.0,0.0,15.842560044084706,-8.583022371006085e-07,0
100.0,6.257313406381499,-4.77001655833469,-0.7328364675553074,-2.341768113948262,-6.656236913217516,0.0,0.0,0.0,0.0,0.0,298.4375158848859,285.7775784871992,273,0.02999999999999998,0.9250416569960501,3279.7094746839684,0.0,0.0,-0.0,0.0,54.06025691247808,-4.7248243374286864e-07,0
150.0,-5.843011117805284,-2.294395990530199,-7.78328171833304,-1.434969536504468,-1.6505741580160995,0.0,0.0,0.0,0.0,0.0,297.7947710484225,286.0003715025621,273,0.04500000000000002,0.9582222441737281,3289.8524119474478,0.0,0.0,-0.0,0.0,-48.54709008774107,-3.763694548496016e-07,0
200.0,3.1567196454123403,0.4518442168394382,2.420592235254286,-2.4954789979506407,-0.6687452183683271,0.0,0.0,0.0,0.0,0.0,297.49684000131737,289.501137547899,273,0.060000000000000026,0.8404445681006784,3252.426781921698,0.0,0.0,0.0,0.0,27.76809430952027,1.0670022133120607e-06,0
250.0,-6.1284085677801325,-0.26929457279712976,-4.5598910688585566,-7.9438637999127515,-4.720714461054691,0.0,0.0,0.0,0.0,0.0,299.5928162675996,293.0157625311101,273,0.07500000000000004,1.1657284874557872,3347.678336597947,0.0,0.0,-0.0,0.0,-50.967180154252326,-2.3414157518631443e-07,0
300.0,-5.285826386817218,4.327744322339859,0.4718898871656369,-4.5744650735137595,1.7909987814203512,0.0,0.0,0.0,0.0,0.0,292.85518041137226,288.2529069266726,273,0.09000000000000004,0.9272320198634695,3280.388072905217,0.0,0.0,-0.0,0.0,-43.82232035768637,-3.708045508916505e-07,0
350.0,-2.1831279741487686,-0.33489506353959875,-0.9743148239291327,-3.6556327550121615,-12.062391059027055,0.0,0.0,0.0,0.0,0.0,296.6865533645171,292.42324091498966,273,0.10500000000000004,1.0105859636395391,3305.29998883748,0.0,0.0,0.0,0.0,-17.512310900556006,6.606772598870264e-07,0
400.0,2.9272626262318537,-12.938576517619582,5.155678452368905,-1.757875295251585,-10.692754994804082,0.0,0.0,0.0,0.0,0.0,303.0704196671485,287.3318594225231,273,0.12000000000000002,0.927564763590311,3280.491046181628,0.0,0.0,-0.0,0.0,25.822363354815113,-3.718633929814585e-07,0
450.0,-0.15498260077395423,0.6598205276608997,9.322728470430459,11.187649892233154,3.2613339073751577,0.0,0.0,0.0,0.0,0.0,296.1035562426113,287.0157970850189,273,0.135,0.9814820646837262,3296.7951650938494,0.0,0.0,-0.0,0.0,-0.3142088433101997,-2.1057959072421388e-07,0
